method,config,clip_number,private_test,n_tracks,n_player_tracks,longest_track_frac,n_fragments,auto_flag
gta,gta-link@e4d5cc40+osnet_x1_0-generic,30,false,18,16,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,31,false,22,20,1.0,4,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,32,false,18,17,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,33,true,15,14,1.0,0,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,34,false,14,13,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,35,false,18,16,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,36,true,19,17,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,37,false,15,14,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,38,false,19,18,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,39,false,17,15,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,40,true,19,18,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,41,false,23,21,1.0,8,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,42,false,23,22,1.0,7,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,43,true,18,16,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,44,false,17,14,1.0,3,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,45,false,18,16,1.0,0,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,46,false,23,22,1.0,5,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,47,false,19,17,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,48,false,19,17,1.0,0,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,49,true,20,19,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,50,false,16,15,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,51,false,23,21,1.0,7,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,52,true,19,17,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,53,false,26,24,1.0,7,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,54,true,24,23,1.0,3,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,55,true,28,27,1.0,6,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,56,true,22,21,1.0,3,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,57,false,15,14,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,58,false,15,14,1.0,0,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,59,false,16,14,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,60,false,19,18,1.0,3,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,61,false,15,14,1.0,2,ok
