down,distance_bin,field_half,hc_published_sp,hc_published_n,hc_published_ep,hc_recomputed_n,hc_recomputed_sp,hc_recomputed_thin,ours_n,ours_sp,ours_thin,model_ep,model_n,missing_in,abs_diff_hc_vs_model,abs_diff_hc_published_vs_hc_recomputed
3,14,own,0.3406593407,91,2.043956044,47,0.3829787234042553,false,104,0.375,false,0.19471063113937906,151,,1.849245412860621,0.04231938270425534
3,15+,own,0.2523659305842271,1913,1.5141955835804417,213,0.3568075117370892,false,543,0.3020257826887661,false,-0.14500720945562906,753,,1.6592027930360707,0.10444158115286206
4,1,own,0.5757575758,99,3.454545455,42,0.5952380952380952,false,120,0.65,false,2.509768763116309,159,,0.9447766918836908,0.019480519438095256
4,2,own,0.4838709677,62,2.903225806,47,0.48936170212765956,false,85,0.6,false,2.250277499945564,131,,0.6529483060544359,0.0054907344276595715
4,3,own,0.4657534247,73,2.794520548,29,0.4482758620689655,true,72,0.5416666666666666,false,1.8663717169454321,100,,0.9281488310545678,0.01747756263103445
4,4,own,0.4561403509,57,2.7368421049999996,33,0.5757575757575758,false,88,0.6136363636363636,false,1.8680089217906988,121,,0.8688331832093008,0.11961722485757581
4,5,own,0.3968253968,63,2.3809523810000006,58,0.46551724137931033,false,76,0.4342105263157895,false,0.8157737402179376,134,,1.565178640782063,0.06869184457931032
4,6,own,0.4857142857,70,2.914285714,44,0.4090909090909091,false,90,0.28888888888888886,false,0.36068160692229867,134,,2.5536041070777014,0.07662337660909091
4,7,own,0.2816901408,71,1.690140845,36,0.4444444444444444,false,77,0.4155844155844156,false,0.5830039623605054,112,,1.1071368826394945,0.16275430364444443
4,8,own,0.4107142857,56,2.464285714,26,0.6538461538461539,true,70,0.45714285714285713,false,0.8115677401850311,96,,1.6527179738149687,0.24313186814615384
4,9,own,0.22222222219999999,45,1.333333333,26,0.38461538461538464,true,78,0.38461538461538464,false,0.1317246008813562,103,,1.2016087321186437,0.16239316241538465
4,10,own,0.21276595739999998,47,1.276595745,23,0.2608695652173913,true,66,0.30303030303030304,false,-0.28547212771883,89,,1.56206787271883,0.048103607817391314
4,11,own,0.2564102564,39,1.538461538,22,0.4090909090909091,true,55,0.2545454545454545,false,-0.7154859830383453,77,,2.253947521038345,0.15268065269090914
4,12,own,0.25,40,1.5,22,0.36363636363636365,true,60,0.25,false,-0.7551859714255509,82,,2.2551859714255507,0.11363636363636365
4,13,own,0.1428571429,49,0.8571428571000002,28,0.21428571428571427,true,69,0.3333333333333333,false,-0.8818416944272893,97,,1.7389845515272895,0.07142857138571426
4,14,own,0.06666666667,30,0.4,16,0.1875,true,48,0.125,false,-1.1274096009838104,64,,1.5274096009838103,0.12083333333
4,15+,own,0.07746478873401408,1089,0.4647887323908451,87,0.1724137931034483,false,269,0.22676579925650558,false,-1.2683059168449409,354,,1.733094649235786,0.09494900436943421
