PLAY #;ODK;OFF FORM;Off Str;OFF PLAY;DN;DIST;YARD LN;RESULT;Drive Success;TARGET ROUTE;RECEIVED BY;GN/LS;Thrown By;YAC;QB;C;X/H;Y/CAT;Z;Target;Drop;B;yardline_50;game_id;play_id;drive_id;half;posteam
83;;Slot;Right;Snake JET;2;10;-15;Rush;0;;PIETRYGA;11;;;;;;;;PIETRYGA;;;15;2;81;14;2;GER
84;Slot Right;Slot;Left;Snake Rolex;1;24;24;Incomplete;0;POST;;0;STEVENS;;;;;;;RIESS;;;26;2;82;14;2;GER
85;Slot Left;Slot;Left;OHIO;2;24;24;Incomplete;0;FADE;;0;THIELE;;;;;;;TREIBER;TREIBER;;26;2;83;14;2;GER
86;Slot Left;Slot;Right;Rolex Poco;3;24;24;Rush;0;;STEVENS;7;STEVENS;;;;;;;;;;26;2;84;14;2;GER
87;Slot Right;Slot;Left;Dopa Poco;4;3;17;Incomplete;0;POCO;;0;STEVENS;;;;;;;SPIES;;;33;2;85;14;2;GER
88;;;;;1;20;-5;Incomplete;;;;0;;;;;;;;;;;5;2;86;15;2;OPP
89;;;;;2;20;-5;;;;;;;;;;;;;;;;5;2;87;15;2;OPP
90;;;;;3;10;-15;;;;;;;;;;;;;;;;15;2;88;15;2;OPP
1;;;;;1;20;-5;;0;;;0;;;;;;;;;;;5;3;1;1;1;OPP
2;;;;;2;20;-5;;0;;;7;;;;;;;;;;;5;3;2;1;1;OPP
3;;;;;3;13;-12;;0;;;7;;;;;;;;;;;12;3;3;1;1;OPP
4;;;;;4;6;-19;;0;;;;;;;;;;;;;;19;3;4;1;1;OPP
5;Slot Right;Slot;Right;Snake Sail;1;20;-5;Complete;1;SHALLOW;DE GAVARELLI;6;THIELE;3;;;;;;DE GAVARELLI;;;5;3;5;2;1;GER
5;Slot Left;Slot;Left;Rolex Sail;2;14;-11;Rush;1;;THIELE;5;THIELE;;;;;;;;;;11;3;6;2;1;GER
6;Slot Left;Slot;Left;OHIO;3;9;-16;Complete;1;OUT;PIETRYGA;8;THIELE;3;;;;;;PIETRYGA;;;16;3;7;2;1;GER
7;BUNCH RIGHT;BUNCH;RIGHT;SUN;4;1;-24;Complete;1;CORE;TREIBER;6;THIELE;5;;;;;;TREIBER;;;24;3;8;2;1;GER
8;Slot Left;Slot;Left;Dopa Curls;1;20;20;Complete;1;DIG;DE GAVARELLI;8;THIELE;1;;;;;;DE GAVARELLI;;;30;3;9;2;1;GER
9;Slot Left;Slot;Left;Smash;2;12;12;Complete;1;FIN;THIELE;5;STEVENS;0;;;;;;THIELE;;;38;3;10;2;1;GER
10;Slot Right;Slot;Right;Snake Sail;3;7;7;Complete, TD;1;SAIL;PIETRYGA;7;THIELE;0;;;;;;PIETRYGA;;;43;3;11;2;1;GER
